"","camera","imgtype","zoom","timestamp","gain","frame","lifter","exposure","genotype","plantbarcode","trial","cartag","measurementlabel","other","image","treatment","trait","value","label"
"43","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",4,"0.2"
"44","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",2,"0.21"
"45","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",5,"0.22"
"46","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",4,"0.23"
"47","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",2,"0.24"
"48","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",7,"0.25"
"49","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",9,"0.26"
"50","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",4,"0.27"
"51","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",7,"0.28"
"52","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",9,"0.29"
"53","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",3,"0.3"
"54","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",3,"0.31"
"55","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",10,"0.32"
"56","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",8,"0.33"
"57","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",7,"0.34"
"58","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",7,"0.35"
"59","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",4,"0.36"
"60","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",13,"0.37"
"61","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",11,"0.38"
"62","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",9,"0.39"
"63","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",9,"0.4"
"64","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",14,"0.41"
"65","HDR","PSII","none","7/21/22","none","none","salt",NA,"37tes","none","nsy1","none","sy1","quinoa","file/path/PSII_HDR_plant_no_salt_37tes_nsy1_sy1_7-21-22.INF","no_salt","yii_hist_Fv/Fm",12,"0.42"
