"","X","meta","color_chip_size","median_color_chip_height","median_color_chip_width","num_mask_shapes","horizontal_reference_position","height_above_reference","height_below_reference","area_above_reference","percent_area_above_reference","area_below_reference","percent_area_below_reference","in_bounds","area","convex_hull_area","solidity","perimeter","width","height","longest_path","convex_hull_vertices","object_in_frame","ellipse_major_axis","ellipse_minor_axis","ellipse_angle","ellipse_eccentricity","hue_circular_mean","hue_circular_std","hue_median"
"7473",7473,"/file/path/snapshot10897/VIS_SV_0_z1_h1_g0_e65_v500_new_29912_0.png",1296.5,37,37,6,1365,408,0,25599,100,0,0,TRUE,25599,100192,0.25549944107314,3403.07222652435,477,408,3191,20,TRUE,434.085723876953,365.649963378906,114.556106567383,0.538938592668393,88.910276523914,31.0689180554496,90
"7474",7474,"/file/path/snapshot10897/VIS_SV_90_z1_h1_g0_e65_v500_new_29913_0.png",1296.5,37,37,2,1365,389,0,15137,100,0,0,TRUE,15137,54660,0.276930113428467,2132.43357598782,280,389,2253,12,TRUE,599.254150390625,391.076934814453,102.498352050781,0.757697322746535,86.4379798117005,30.8606453754682,86
"7475",7475,"/file/path/snapshot10898/VIS_SV_0_z1_h1_g0_e65_v500_new_29918_0.png",1296.5,37,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7476",7476,"/file/path/snapshot10898/VIS_SV_90_z1_h1_g0_e65_v500_new_29919_0.png",1296.5,37,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7477",7477,"/file/path/snapshot10899/VIS_SV_0_z1_h1_g0_e65_v500_new_29924_0.png",1296.5,37,37,4,1365,492,0,25970,100,0,0,TRUE,25970,117835.5,0.220391987134607,2771.40235602856,603,492,3906,14,TRUE,831.626098632812,359.232238769531,0,0.901891019775594,86.3508448038561,31.7453144981838,86
"7478",7478,"/file/path/snapshot10899/VIS_SV_90_z1_h1_g0_e65_v500_new_29925_0.png",1296.5,37,37,7,1365,516,0,26642,100,0,0,TRUE,26642,111467.5,0.23901137102743,3344.94032204151,408,516,3635,17,TRUE,437.053924560547,318.091430664062,10.6182918548584,0.685780739200603,85.7189073610022,31.6105492390728,86
"7479",7479,"/file/path/snapshot10900/VIS_SV_0_z1_h1_g0_e65_v500_new_29930_0.png",1296.5,37,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7480",7480,"/file/path/snapshot10900/VIS_SV_90_z1_h1_g0_e65_v500_new_29931_0.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7481",7481,"/file/path/snapshot10901/VIS_SV_0_z1_h1_g0_e65_v500_new_29936_0.png",1296.5,37,37,3,1365,460,0,29861,100,0,0,TRUE,29861,138654,0.215363422620336,3486.45662486553,547,460,4000,10,TRUE,571.476867675781,531.073852539062,32.9925003051758,0.369323991929773,84.0813065012185,27.4156439215605,84
"7482",7482,"/file/path/snapshot10901/VIS_SV_90_z1_h1_g0_e65_v500_new_29937_0.png",1296.5,37,37,3,1365,448,0,29752,100,0,0,TRUE,29752,94335.5,0.315384982323728,3042.84858715534,306,448,2877,18,TRUE,422.284393310547,271.723937988281,1.88672268390656,0.765478100611789,84.7751082927676,26.764422395704,84
"7483",7483,"/file/path/snapshot10902/VIS_SV_0_z1_h1_g0_e65_v500_new_29942_0.png",1296.5,37,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7484",7484,"/file/path/snapshot10902/VIS_SV_90_z1_h1_g0_e65_v500_new_29943_0.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7485",7485,"/file/path/snapshot10903/VIS_SV_0_z1_h1_g0_e65_v500_new_29948_0.png",1296.5,37,37,3,1365,382,0,14673,100,0,0,TRUE,14673,78475.5,0.186975552879561,2584.33252739906,405,382,2984,15,TRUE,493.665771484375,443.338012695312,0,0.439887328213378,81.5631818063561,34.728181301927,78
